City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Flin Flon,CA,54.77,-101.86,37.4,59,75,17.22,broken clouds
186,Grand Gaube,MU,-20.01,57.66,75.0,80,1,5.99,clear sky
187,Mahebourg,MU,-20.41,57.7,75.2,78,75,11.41,shower rain
188,Nizwa,OM,22.93,57.53,70.48,23,0,1.9,clear sky
189,Amapa,BR,1.0,-52.0,87.37,38,73,3.22,broken clouds
190,Radviliskis,LT,55.82,23.53,48.2,81,90,10.29,overcast clouds
191,Westport,US,41.14,-73.36,59.0,93,90,12.75,overcast clouds
192,San Quintin,MX,30.48,-115.95,88.27,26,0,12.68,clear sky
193,Rio Grande,BR,-32.03,-52.1,59.85,79,44,6.31,scattered clouds
194,Salalah,OM,17.02,54.09,80.6,88,1,2.24,clear sky
195,Aklavik,CA,68.22,-135.01,23.0,57,90,6.93,overcast clouds
196,Kaitangata,NZ,-46.28,169.85,48.0,57,31,15.99,light rain
197,Katsuura,JP,35.13,140.3,68.0,72,75,11.41,broken clouds
198,Alta Floresta,BR,-9.88,-56.09,83.59,57,60,2.84,light rain
199,Aplahoue,BJ,6.93,1.68,73.69,96,99,5.59,moderate rain
200,Sandnessjoen,NO,66.02,12.63,32.0,65,40,2.24,light rain
201,Yabrud,SY,33.97,36.66,66.2,52,60,11.41,broken clouds
202,Talcahuano,CL,-36.72,-73.12,64.4,63,0,21.92,clear sky
203,Moerai,PF,-22.43,-151.33,71.98,89,45,14.5,light rain
204,Marzuq,YE,14.4,46.47,72.36,52,0,3.51,clear sky
205,Palmer,US,42.16,-72.33,51.01,100,90,11.41,moderate rain
206,Beira,MZ,-19.84,34.84,69.8,94,20,5.82,few clouds
207,Pangnirtung,CA,66.15,-65.71,28.4,86,20,6.93,few clouds
208,Thaba-Tseka,LS,-29.52,28.61,49.82,44,0,1.95,clear sky
209,Palaia Fokaia,GR,37.72,23.95,69.01,60,20,9.17,few clouds
210,Tazovskiy,RU,67.47,78.7,37.98,96,100,15.28,light rain
211,Krasnokholmskiy,RU,55.99,55.05,48.81,69,98,7.14,light rain
212,Nelson Bay,AU,-32.72,152.15,68.0,88,75,8.05,broken clouds
213,Otavi,NA,-19.65,17.33,74.55,21,0,8.77,clear sky
214,Lufilufi,WS,-13.87,-171.6,86.0,74,40,19.66,scattered clouds
215,Saint-Francois,FR,46.42,3.91,48.0,92,90,1.01,light rain
216,Atar,MR,20.52,-13.05,84.43,50,99,8.77,light rain
217,Malente,DE,54.17,10.56,51.8,76,99,10.29,overcast clouds
218,La Uvita,CO,6.32,-72.56,58.98,72,77,4.54,light rain
219,Comrat,MD,46.3,28.66,60.33,66,51,17.69,broken clouds
220,Radhanpur,IN,23.83,71.6,85.15,30,53,5.12,broken clouds
221,Pringsewu,ID,-5.36,104.97,73.67,91,100,1.36,overcast clouds
222,Upernavik,GL,72.79,-56.15,24.24,91,42,6.67,scattered clouds
223,State College,US,40.79,-77.86,64.4,45,20,10.29,few clouds
224,Missoula,US,47.02,-113.8,44.6,93,90,3.83,moderate rain
225,Chirongui,YT,-12.93,45.15,78.8,83,75,5.82,broken clouds
226,Martapura,ID,-3.42,114.85,77.0,94,20,1.12,few clouds
227,Ak-Dovurak,RU,51.18,90.6,34.63,85,100,2.04,overcast clouds
228,Vagur,FO,61.47,-6.81,47.16,77,1,5.19,clear sky
229,Sola,VU,-13.88,167.55,81.63,72,71,0.6,light rain
230,Saint-Joseph,RE,-21.37,55.62,71.6,73,75,4.7,broken clouds
231,Wichita Falls,US,33.91,-98.49,84.0,21,1,12.75,clear sky
232,High Level,CA,58.52,-117.14,33.8,50,20,9.17,few clouds
233,Beringovskiy,RU,63.05,179.32,32.88,81,0,3.62,clear sky
234,Along,IN,28.17,94.77,67.8,86,12,1.97,few clouds
235,Kirakira,SB,-10.45,161.92,80.76,78,99,3.87,overcast clouds
236,Dunedin,NZ,-45.87,170.5,46.0,65,0,23.0,clear sky
237,Vila,PT,42.03,-8.16,53.01,78,99,4.0,overcast clouds
238,Korla,CN,41.76,86.15,46.74,48,0,4.61,clear sky
239,Oistins,BB,13.07,-59.53,80.6,83,75,11.41,broken clouds
240,Pidhorodne,UA,48.58,35.11,62.6,63,20,8.95,few clouds
241,San Jeronimo,PE,-11.95,-75.28,60.3,44,65,8.08,light rain
242,Aripuana,BR,-9.17,-60.63,82.89,64,88,2.39,light rain
243,San Patricio,US,28.02,-97.52,93.99,49,20,3.36,few clouds
244,Rock Springs,US,41.59,-109.2,66.2,22,1,33.33,clear sky
245,Greenville,US,35.61,-77.37,78.8,61,1,3.36,clear sky
246,Yagodnoye,RU,62.55,149.67,32.23,95,100,5.03,overcast clouds
247,Lishui,CN,28.46,119.91,65.34,85,70,2.42,broken clouds
248,Medicine Hat,CA,50.05,-110.67,46.99,65,90,2.24,overcast clouds
249,Coihaique,CL,-45.58,-72.07,50.0,72,75,13.87,broken clouds
250,Hailey,US,43.52,-114.32,60.8,48,75,11.41,broken clouds
251,Ketchikan,US,55.34,-131.65,50.0,71,1,13.87,clear sky
252,Sovetskiy,RU,61.36,63.58,43.27,86,100,7.31,overcast clouds
253,Lauria,IT,40.05,15.84,51.46,78,42,3.8,scattered clouds
254,Shingu,JP,33.73,135.98,60.85,65,0,6.15,clear sky
255,Bom Conselho,BR,-9.17,-36.68,69.53,75,50,14.29,scattered clouds
256,Muramatsu,JP,37.68,139.18,57.99,94,14,1.03,few clouds
257,Half Moon Bay,US,37.46,-122.43,84.0,60,1,17.22,clear sky
258,Arraial Do Cabo,BR,-22.97,-42.03,77.0,73,0,18.34,clear sky
259,Jackson,US,42.42,-122.83,73.0,46,1,3.4,clear sky
260,Talpa,MX,28.83,-111.63,98.01,34,64,8.01,broken clouds
261,Bubaque,GW,11.28,-15.83,80.62,82,99,16.69,moderate rain
262,Verkhnyaya Inta,RU,65.98,60.31,43.18,93,100,15.9,moderate rain
263,Hualmay,PE,-11.1,-77.61,67.37,70,16,9.4,few clouds
264,Port Hedland,AU,-20.32,118.57,69.8,88,0,1.12,clear sky
265,Mount Isa,AU,-20.73,139.5,71.6,56,0,6.93,clear sky
266,Kibala,TD,9.11,18.35,73.53,91,20,3.36,light rain
267,Manta,EC,-0.95,-80.73,82.4,65,20,13.87,few clouds
268,Clyde River,CA,70.47,-68.59,26.6,100,75,12.75,broken clouds
269,Eureka,US,40.8,-124.16,72.0,70,10,4.0,clear sky
270,Bintulu,MY,3.17,113.03,75.2,94,20,3.76,few clouds
271,Hami,CN,42.8,93.45,40.01,66,0,0.76,clear sky
272,Porto Novo,BJ,6.5,2.6,80.6,83,40,12.75,scattered clouds
273,Bulungu,CD,-4.55,18.6,71.55,91,61,1.41,light rain
274,Jacareacanga,BR,-6.22,-57.75,73.08,89,100,2.26,light rain
275,Zelenoborsk,RU,61.47,64.03,42.69,87,100,7.74,overcast clouds
276,Nadvoitsy,RU,63.87,34.32,42.17,88,87,5.14,overcast clouds
277,Hare Bay,CA,48.85,-54.01,50.0,57,20,5.82,few clouds
278,Bogande,BF,12.97,-0.14,90.09,27,67,3.15,broken clouds
279,Grenville,GD,12.12,-61.62,86.0,79,20,5.82,few clouds
280,Vanavara,RU,60.34,102.28,20.7,94,83,4.07,broken clouds
281,Alofi,NU,-19.06,-169.92,77.0,57,75,17.22,broken clouds
282,Port Hardy,CA,50.7,-127.42,51.8,81,75,14.99,light intensity shower rain
283,Ayan,RU,56.45,138.17,28.49,85,39,19.71,scattered clouds
284,Afonso Claudio,BR,-20.07,-41.12,71.76,83,84,4.18,broken clouds
285,Kupang,ID,-10.17,123.58,76.03,76,0,4.09,clear sky
286,Ashqelon,IL,31.67,34.57,75.0,64,40,2.24,scattered clouds
287,Eyl,SO,7.98,49.82,80.19,80,80,10.13,broken clouds
288,Rovaniemi,FI,66.5,25.72,30.2,100,33,6.93,scattered clouds
289,Srednekolymsk,RU,67.45,153.68,35.42,85,96,9.75,overcast clouds
290,Sioux Lookout,CA,50.1,-91.92,48.2,42,75,17.22,broken clouds
291,Los Llanos De Aridane,ES,28.66,-17.92,75.2,83,0,12.75,clear sky
292,Chabua,IN,27.48,95.17,74.03,94,0,2.59,clear sky
293,Birjand,IR,32.87,59.22,44.6,26,0,6.93,clear sky
294,Kavaratti,IN,10.57,72.64,81.16,80,46,19.33,scattered clouds
295,Bonfim,BR,3.08,-59.95,91.17,49,72,4.85,broken clouds
296,Omuta,JP,33.03,130.45,62.01,57,0,10.4,clear sky
297,Cabedelo,BR,-6.98,-34.83,78.8,74,20,13.87,few clouds
298,Bealanana,MG,-14.55,48.73,63.64,87,67,2.53,broken clouds
299,Irbeyskoye,RU,55.64,95.45,36.61,95,100,4.59,overcast clouds
300,Klaksvik,FO,62.23,-6.59,44.6,93,53,1.12,light rain
301,Faya,SA,18.39,42.45,62.6,82,0,1.83,clear sky
302,Grindavik,IS,63.84,-22.43,46.4,100,90,28.86,overcast clouds
303,Sabang,ID,5.89,95.32,82.78,73,94,11.9,overcast clouds
304,Lasa,IT,46.62,10.7,42.01,69,5,6.93,clear sky
305,Luba,GQ,3.46,8.55,78.35,83,62,7.96,light rain
306,Raga,SS,8.46,25.68,71.92,88,100,2.13,light rain
307,Fort Nelson,CA,58.81,-122.7,30.2,80,90,3.36,light snow
308,Stephenville,US,32.22,-98.2,82.4,23,1,3.36,clear sky
309,Umm Lajj,SA,25.02,37.27,86.09,33,0,7.56,clear sky
310,Ilulissat,GL,69.22,-51.1,44.6,48,70,3.36,broken clouds
311,Karratha,AU,-20.74,116.85,80.22,28,0,11.45,light rain
312,San Ramon,US,37.78,-121.98,90.0,19,1,4.25,clear sky
313,Walvis Bay,NA,-22.96,14.51,57.0,93,0,2.24,clear sky
314,Oriximina,BR,-1.77,-55.87,84.09,61,95,8.7,light rain
315,Ginir,ET,7.13,40.7,58.62,84,16,4.7,few clouds
316,Nata,PA,8.33,-80.52,82.4,83,40,4.7,moderate rain
317,Tabou,CI,4.42,-7.35,76.95,88,24,7.72,light rain
318,Krasnoselkup,RU,65.7,82.47,36.14,98,100,20.13,light rain
319,Abu Samrah,SY,35.3,37.18,64.13,88,16,7.29,few clouds
320,Quatre Cocos,MU,-20.21,57.76,75.2,78,75,11.41,shower rain
321,Kurumkan,RU,54.3,110.3,23.7,84,67,1.88,broken clouds
322,Coffs Harbour,AU,-30.3,153.13,57.2,93,0,2.24,clear sky
323,Bathsheba,BB,13.22,-59.52,80.6,83,75,11.41,broken clouds
